t,position,entry_px,equity,el,xl,es,xs,stop,tp,trail,size,local0,local1,local2,local3,local4,local5,local6,local7,local8,local9,local10,local11,local12,local13,local14,local15,local16
240,-1,966989.75,9926.36914,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,964176.688,54.6838303,6839.88184,978778.312,940226,10999.2178,962211.812,964176.688,948776.625,5793.57275,956330,962908.188,-2544.8125,0.0175869465,967473.5,2544.8125,11.8430099
241,-1,966989.75,9938.32812,0,1,0,0,0.0500000007,0.100000001,0.0799999982,0.5,963973.812,51.9368515,6831.23828,978778.312,940531.188,9697.03027,963582,964176.688,948776.625,5858.58984,957297,963516.875,-2331.1875,0.0203335285,967531.188,2331.1875,5.4088974
242,-1,966989.75,9954.54297,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,963376.562,48.3874741,6966.93994,978778.312,941889.188,8133.04395,964700,964176.688,948776.625,5631.19922,958284.125,964052.125,-3160.9375,0.0165820122,964986.375,3160.9375,-3.0196228
243,-1,966989.75,9888.88574,0,0,0,1,0.0500000007,0.100000001,0.0799999982,0.5,964565.438,60.2369957,7649.24316,978778.312,941889.188,5881.80029,966742.375,964565.438,949646.062,5176.90137,959411.812,964176.688,12799,0.0302983522,962655.188,-12799,-16.5124969
244,0,0,9881.40137,0,0,1,0,0.0500000007,0.100000001,0.0799999982,0.5,965507.938,59.4799347,7264.59619,978778.312,953933.75,5058.40186,967909.188,965507.938,951201.125,4621.57764,960544.875,963973.812,-658.875,0.0171011686,959494.25,658.875,-23.2906265
245,-1,971148.562,9890.09668,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,965902.625,55.8475838,7347.1875,978778.312,956713.75,4715.56445,968420.562,965902.625,952827,4008.82349,961594.938,963376.562,-3166.1875,0.00744736195,972293.25,3166.1875,-26.0080261
246,-1,971148.562,9886.77344,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,966331.812,56.4386139,7193.14746,978778.312,956713.75,4505.58887,968829.562,966331.812,954862.875,3354.35791,962559.562,964565.438,653.1875,0.00594377518,971634.375,-653.1875,-27.5549927
247,-1,971148.562,9874.97754,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,967012.938,58.5592499,7032.27539,978778.312,956713.75,4548.79883,969068.438,967012.938,956603.25,2771.97021,963427.438,965507.938,2318.6875,0.00345408916,968468.188,-2318.6875,-27.2371216
248,-1,971148.562,9888.65918,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,967244.625,55.2026558,6905.9209,978778.312,956713.75,4538.75635,969128.062,967244.625,958740.062,2195.56372,964187.562,965902.625,-2689.25,0.000862717628,969121.375,2689.25,-27.3109436
249,-1,971148.562,9921.05078,0,1,0,0,0.0500000007,0.100000001,0.0799999982,0.5,966596.5,48.163723,7321.82812,978778.312,956713.75,4736.87598,968396.312,967244.625,961315.375,1673.4657,964748.688,966331.812,-6366.9375,-0.0105339885,971440.062,6366.9375,-25.8539047
