t,position,entry_px,equity,el,xl,es,xs,stop,tp,trail,size,local0,local1,local2,local3,local4,local5,local6,local7,local8,local9,local10,local11,local12,local13,local14,local15,local16
41,0,0,9912.8457,0,1,1,0,0.0500000007,0.100000001,0.0799999982,0.5,1021463.06,54.6941528,6260.37793,1028031.19,1011275.62,4086.12207,1019733.62,1021471.62,1017972.56,1147.11035,1019836.56,1020734.12,-3799.375,-0.000456809998,1021955.69,3799.375,-36.2106934
42,-1,1020896.5,9902.0293,1,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1021548.44,55.5978012,6069.79736,1028031.19,1011903.69,3972.16504,1020185.31,1021548.44,1017972.56,1201.08728,1019883.06,1020897,696.25,0.00622355938,1025206.62,-696.25,-37.1679993
43,-1,1020896.5,9882.28906,0,0,0,1,0.0500000007,0.100000001,0.0799999982,0.5,1022164.56,60.5467148,6015.20459,1028031.19,1011903.69,4081.98145,1020900.62,1022164.56,1017972.56,1336.25476,1020018.81,1021471.62,4065.9375,0.00985753536,1021407.25,-4065.9375,-36.306427
44,0,0,9874.81445,0,0,1,0,0.0500000007,0.100000001,0.0799999982,0.5,1022536.56,58.4505424,5674.5249,1028031.19,1011903.69,4038.71582,1021481.56,1022536.56,1017972.56,1482.26245,1020213.88,1021463.06,-1214.8125,0.00799739361,1022103.5,1214.8125,-36.6452408
45,-1,1024442.12,9857.60156,0,0,0,1,0.0500000007,0.100000001,0.0799999982,0.5,1023130.25,60.8925209,5576.69727,1028125.5,1011903.69,3577.3042,1022456.19,1023130.25,1017972.56,1612.4895,1020512.81,1021548.44,2034.5625,0.013466239,1026169.44,-2034.5625,-40.3817024
46,0,0,9850.1748,0,0,1,0,0.0500000007,0.100000001,0.0799999982,0.5,1023300.19,56.3607826,5650.25928,1029002.69,1012878.12,2598.68042,1023234.12,1023300.19,1017972.56,1627.28882,1020875.62,1022164.56,-2584.625,0.0107440948,1024954.62,2584.625,-49.3144913
47,-1,1023892.31,9799.61914,0,0,0,1,0.0500000007,0.100000001,0.0799999982,0.5,1024644,65.8608627,6181.32568,1035443.12,1016007.44,3041.79492,1024449.62,1024644,1018504.56,1683.24146,1021352.19,1022536.56,8974,0.0167433023,1026989.19,-8974,-45.4564323
48,0,0,9792.16113,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1026100.62,67.7083588,6099.29346,1036991.5,1019140.12,4086.19702,1025421.56,1026100.62,1018830.25,1889.50879,1021894.81,1023130.25,2190,0.0133136511,1024404.56,-2190,-37.0027771
49,0,0,9792.16113,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1026904.75,62.034523,6088.07617,1036991.5,1019140.12,4224.33838,1026220.5,1026904.75,1019542.44,2087.97729,1022471.5,1023300.19,-3436.9375,0.0109549761,1033378.56,3436.9375,-35.9225845
50,0,0,9792.16113,0,0,1,0,0.0500000007,0.100000001,0.0799999982,0.5,1027349,59.0942574,6027.15088,1036991.5,1019140.12,4302.29102,1026653.69,1027349,1020163.62,2266.09106,1023029.12,1024644,-1894.9375,0.00592207909,1035568.56,1894.9375,-35.3235321
51,-1,1029721.56,9792.23535,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1027525.94,56.710453,6333.38135,1036991.5,1019140.12,4274.36475,1026973.31,1027525.94,1020734.12,2390.91821,1023555,1026100.62,-1560.5,0.00436913967,1032131.62,1560.5,-35.5400696
52,-1,1029721.56,9793.38281,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1027647.12,56.3321228,6134.56836,1036991.5,1019140.12,4228.94482,1027258.44,1027647.12,1020897,2469.89502,1024048.88,1026904.75,-241.25,0.0038973093,1030236.69,241.25,-35.8901901
53,-1,1029721.56,9811.44434,0,1,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1027245.69,50.6072807,6259.41602,1036991.5,1019140.12,4041.03076,1027449.88,1027647.12,1021463.06,2432.11646,1024502.38,1027349,-3798.625,0.00262308121,1028676.19,3798.625,-37.3529282
54,-1,1029721.56,9811.81445,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1026887.38,50.4938965,6044.97998,1036991.5,1019959.75,4070.07886,1027403.5,1027647.12,1021463.06,2348.5791,1024889.06,1027525.94,-77.9375,-0.000632286072,1028434.94,77.9375,-37.2070541
55,-1,1029721.56,9807.32422,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1026702.81,51.9004211,5683.00391,1036991.5,1019959.75,3764.26831,1027696.06,1027647.12,1021548.44,2184.55884,1025263.38,1027647.12,944.5625,0.00400984287,1024636.31,-944.5625,-39.6542511
56,-1,1029721.56,9790.77637,1,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1027006.88,56.7734299,5675.45459,1036991.5,1021484.94,3436.92725,1028187.44,1027647.12,1022164.56,1962.55969,1025653.31,1027245.69,3480.1875,0.00673079491,1024558.38,-3480.1875,-42.5351677
57,-1,1029721.56,9794.33496,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1027170.56,55.4718628,5599.54248,1036991.5,1022357.94,3391.15991,1028334.94,1027647.12,1022536.56,1737.48743,1026010.88,1026887.38,-748.4375,0.00201261044,1025502.94,748.4375,-43.0132065
58,-1,1029721.56,9796.80078,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1027243.31,54.5388031,5316.01709,1036991.5,1022357.94,3266.83374,1028532.19,1027647.12,1023130.25,1467.02014,1026347.06,1026702.81,-518.625,0.00269424915,1028983.12,518.625,-44.0872917
59,-1,1029721.56,9805.64648,0,1,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1027058.31,51.2110825,5322.30176,1036991.5,1022357.94,3317.72705,1028451.38,1027647.12,1023300.19,1170.65808,1026627.62,1027006.88,-1860.4375,-0.00110375881,1028234.69,1860.4375,-43.6445274
60,-1,1029721.56,9785.90625,1,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1027451.5,57.450325,5363.62842,1036991.5,1022357.94,3138.53052,1028851.5,1027647.12,1024644,734.956055,1026924.12,1027170.56,4151.6875,0.0054693222,1027716.06,-4151.6875,-45.2221489
61,-1,1029721.56,9808.24219,0,1,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1027165.94,49.7047691,5834.23535,1036991.5,1021690.69,2991.71753,1028275.19,1027647.12,1026100.62,374.87204,1027104.31,1027243.31,-4697.6875,-0.00780832767,1025855.62,4697.6875,-46.4832115
62,-1,1029721.56,9835.69629,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1026148.56,42.1778564,6181.85254,1036823.31,1017079.19,3048.75342,1027130,1027647.12,1026148.56,365.798157,1027107.81,1027058.31,-5773.9375,-0.0154821873,1030007.31,5773.9375,-45.49897
63,-1,1029721.56,9873.87109,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1024196.31,34.3812675,6427.57275,1034616.94,1010713.44,4771.99902,1025656.81,1027647.12,1024196.31,835.990051,1026914.19,1027451.5,-8028.8125,-0.0199826956,1025309.62,8028.8125,-31.000679
64,-1,1029721.56,9844.55273,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1023326.56,43.0831146,6531.72363,1034616.94,1010649.75,5002.11621,1024759.38,1027647.12,1023326.56,1233.78003,1026627,1027165.94,6166.1875,-0.0121948719,1019535.69,-6166.1875,-29.3539124
65,-1,1029721.56,9868.78125,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1021893.38,38.5353546,6564.53809,1033642.81,1010649.75,5762.18359,1023609.5,1027647.12,1021893.38,1703.84167,1026224.62,1026148.56,-5095.5,-0.0156498551,1011506.88,5095.5,-24.1773376
66,-1,1029721.56,9861.37891,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1020858.81,40.5981407,6433.07129,1033642.81,1010649.75,6075.28223,1022588,1027451.5,1020858.81,2140.08618,1025739.69,1024196.31,1556.5625,-0.013905406,1017673.06,-1556.5625,-22.136322
67,-1,1029721.56,9853.31641,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1020188.31,42.8484306,6613.8877,1033642.81,1010502.81,6282.98779,1021959,1027451.5,1020188.31,2522.92432,1025235.62,1023326.56,1695.75,-0.00859469175,1012577.56,-1695.75,-20.8053589
68,-1,1029721.56,9843.54102,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1019881.31,45.542099,6543.91357,1033642.81,1010502.81,6320.68896,1021482.38,1027451.5,1019881.31,2822.69189,1024735.12,1021893.38,2056,-0.0065125823,1014134.12,-2056,-20.566391
69,-1,1029721.56,9829.33496,1,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1020013.62,49.2829323,6520.0625,1033642.81,1010502.81,6222.02295,1021151.69,1027451.5,1019881.31,3009.1731,1024257.38,1020858.81,2987.6875,-0.00451427698,1015829.88,-2987.6875,-21.1877136
70,-1,1029721.56,9827.02148,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1020193.12,49.8865891,6115.10254,1033642.81,1010502.81,5834.32275,1020607.19,1027451.5,1019881.31,3075.40918,1023770.62,1020188.31,486.5,-0.0074083209,1017885.88,-486.5,-23.682785
71,-1,1029721.56,9886.96484,0,1,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1018667.81,37.4478378,7235.57275,1033642.81,1004184.31,6163.13623,1019215.62,1027451.5,1018667.81,3181.75757,1023163.38,1019881.31,-12606.9375,-0.018946588,1020873.56,12606.9375,-20.9251328
72,-1,1029721.56,9895.70703,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1017100.69,36.0366287,7225.05859,1033642.81,1004184.31,6436.11475,1017729.81,1027451.5,1017100.69,3321.9165,1022438.94,1020013.62,-1838.5625,-0.0202404857,1021360.06,1838.5625,-19.2049103
73,-1,1029721.56,9873.38281,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1016368.56,42.0430679,7213.21045,1033642.81,1004184.31,6192.51025,1016712.31,1027451.5,1016368.56,3399.99048,1021675.44,1020193.12,4695.0625,-0.0138869286,1008753.12,-4695.0625,-20.75
74,-1,1029721.56,9868.04883,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1015883.62,43.4104347,6915.05273,1033642.81,1004184.31,5032.95654,1015478.19,1027165.94,1015883.62,3300.00391,1020849.12,1018667.81,1121.8125,-0.0167725682,1006914.56,-1121.8125,-28.500946
75,-1,1029721.56,9852.39844,1,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1015902.25,47.336628,6686.87939,1027780.06,1004184.31,4243.56299,1014814.94,1026148.56,1015883.62,3023.31177,1020044.62,1017100.69,3291.6875,-0.0090572834,1011609.62,-3291.6875,-34.2915192
76,-1,1029721.56,9839.94922,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1016267.44,50.2908249,6800.76318,1025986,1004184.31,4178.24316,1014751,1024196.31,1015883.62,2645.72803,1019338.69,1016368.56,2618.1875,-0.000877261162,1012731.44,-2618.1875,-34.7920151
77,-1,1029721.56,9867.82422,0,1,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1015802.31,44.2986145,6968.2085,1025986,1004184.31,4120.13867,1014841.88,1023326.56,1015802.31,2418.31006,1018739.12,1015883.62,-5862.5,0.00125741959,1016023.12,5862.5,-35.23983
78,-1,1029721.56,9869.31641,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1015357.31,43.9962425,6727.49707,1025986,1004184.31,4082.67041,1014469.81,1021893.38,1015357.31,2199.52783,1018169.88,1015902.25,-314,-0.00511777401,1018641.31,314,-35.529808
79,-1,1029721.56,9880.70215,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1014652.38,41.6608849,6584.88135,1025986,1004184.31,4214.6084,1014290.69,1020858.81,1014652.38,2112.79175,1017652.56,1016267.44,-2394.5,-0.00247609615,1012778.81,2394.5,-34.5112839
80,-1,1029721.56,9875.1748,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1014196.44,43.2361336,6566.43018,1025986,1004184.31,4287.91064,1014083.5,1020193.12,1014196.44,2087.21118,1017176.62,1015802.31,1162.4375,-0.00286096334,1012464.81,-1162.4375,-33.9494629
81,-1,1029721.56,9863.47656,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1014129.31,46.5272903,6522.62695,1025986,1004184.31,4260.97754,1013930.88,1020193.12,1014129.31,2045.65771,1016743.88,1015357.31,2460.4375,-0.00210338831,1010070.31,-2460.4375,-34.1577759
82,-1,1029721.56,9852.25586,1,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1014385.81,49.5487137,6526.82764,1025986,1004184.31,4164.5166,1013800,1020193.12,1014129.31,1929.97583,1016351.44,1014652.38,2359.875,-0.00180059671,1011232.75,-2359.875,-34.8997421
83,-1,1029721.56,9840.28027,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1014943.94,52.6254005,6399.00977,1025986,1004184.31,3920.27637,1013635.56,1020193.12,1014129.31,1666.50415,1015989.31,1014196.44,2518.625,-0.00225478411,1013693.19,-2518.625,-36.8182983
84,-1,1029721.56,9846.02344,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1015266.56,51.01828,6224.84375,1025986,1004184.31,3466.67456,1013350.19,1018667.81,1014129.31,1195.18164,1015637.5,1014129.31,-1208.0625,-0.00391286612,1016053.06,1208.0625,-40.5496368
85,-1,1029721.56,9863.31934,0,1,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1015061.19,46.4214211,6236.59619,1021476.5,1004292.06,3223.71118,1013705.44,1017100.69,1014129.31,854.331726,1015379.88,1014385.81,-3637.4375,0.00492990017,1018571.69,3637.4375,-42.6543121
86,-1,1029721.56,9864.48438,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1014850.5,46.1198425,5917.10254,1021476.5,1005735.25,2623.36108,1014174.38,1016368.56,1014129.31,715.920593,1015219.12,1014943.94,-245.125,0.00652146339,1017363.62,245.125,-48.3587952
87,-1,1029721.56,9840.21875,1,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1015348.38,52.9702187,6154.2959,1021476.5,1007489.75,2748.3103,1014672.56,1016267.44,1014129.31,643.468933,1015146.31,1015266.56,5103.4375,0.00689482689,1013726.19,-5103.4375,-47.3322296
88,-1,1029721.56,9820.29492,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1016338.56,57.7232971,6173.62305,1023894.5,1007489.75,3385.06421,1015389.94,1016338.56,1014129.31,689.712097,1015178.81,1015061.19,4190.5,0.00991725922,1013481.06,-4190.5,-41.5778351
89,-1,1029721.56,9824.83203,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1017069.5,56.326889,5946.48926,1023894.5,1007489.75,3769.91357,1015804,1017069.5,1014129.31,828.683289,1015262.12,1014850.5,-954.5,0.00570595264,1018584.5,954.5,-38.354538
90,-1,1029721.56,9812.27539,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1018055.12,59.2633438,5983.68213,1026377.06,1007489.75,4337.98145,1016219.88,1018055.12,1014129.31,1074.90796,1015389.81,1015348.38,2641,0.00571370125,1022775,-2641,-33.889122
91,-1,1029721.56,9810.94043,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1018946.75,59.5745201,5728.87012,1026377.06,1007489.75,4736.04834,1017074.44,1018946.75,1014129.31,1412.98584,1015614.44,1016338.56,280.75,0.0118124485,1021820.5,-280.75,-30.9344559
92,-1,1029721.56,9827.01465,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1019268.75,54.2052078,5651.72314,1026377.06,1007489.75,4671.35498,1017709.88,1019268.75,1014129.31,1693.40503,1015893.81,1017069.5,-3380.625,0.00878727436,1024461.5,3380.625,-31.4035263
93,-1,1029721.56,9811.70215,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1019977.19,58.081089,5793.12695,1026791,1007489.75,4466.74805,1018746.44,1019977.19,1014129.31,1950.35449,1016274.12,1018055.12,3220.4375,0.0143671036,1024742.25,-3220.4375,-32.9172363
94,-1,1029721.56,9834.83594,0,1,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1019942.44,51.0513077,6075.70264,1027029.81,1009488.5,3952.14038,1019352.38,1019977.19,1014129.31,2070.8103,1016684.56,1018946.75,-4865.3125,0.00838971138,1021361.62,4865.3125,-37.0883141
95,-1,1029721.56,9829.74414,1,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1020055.12,52.4162941,5735.71484,1027029.81,1011419.06,3636.22949,1019859.12,1020055.12,1014385.81,2110.49438,1017107.88,1019268.75,1070.75,0.00699853897,1024582.06,-1070.75,-39.8431358
96,-1,1029721.56,9803.63672,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1020884.94,58.7664528,5741.78857,1027029.81,1011419.06,3820.66406,1020589.44,1020884.94,1014850.5,2174.50415,1017572,1019977.19,5491,0.0100638866,1019716.75,-5491,-38.3375092
97,-1,1029721.56,9804.85938,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1021569.75,58.3732376,5655.90625,1028419.81,1011419.06,4016.32397,1021121.5,1021569.75,1014850.5,2269.9458,1018045.31,1019942.44,-257.375,0.00731360912,1020787.5,257.375,-36.7748566
98,-1,1029721.56,9778.16211,0,0,0,1,0.0500000007,0.100000001,0.0799999982,0.5,1022911.94,64.0282593,6124.78809,1034947.75,1011419.06,4688.23633,1022141.06,1022911.94,1014850.5,2448.38428,1018591.44,1020055.12,5614.9375,0.0140287876,1026278.5,-5614.9375,-31.6795883
99,0,0,9770.80273,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1023892.25,61.8189468,6099.78076,1034947.75,1011419.06,4498.86377,1023322.19,1023892.25,1014850.5,2591.05029,1019222.19,1020884.94,-1371.625,0.0163142681,1026021.12,1371.625,-33.0769653
100,0,0,9770.80273,0,0,1,0,0.0500000007,0.100000001,0.0799999982,0.5,1024577.06,59.8159866,6384.5332,1034947.75,1011419.06,3796.61133,1024432.81,1024577.06,1015348.38,2629.42529,1019917,1021569.75,-1236,0.0153405666,1031636.06,1236,-38.5284576
101,-1,1028513.88,9765.25977,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1025120.38,59.1872139,6443.21387,1034947.75,1017280.62,3567.29565,1025151.94,1025120.38,1016338.56,2621.02148,1020614.94,1022911.94,-376.3125,0.00988388062,1030264.44,376.3125,-41.0057411
102,-1,1028513.88,9749.92188,0,0,0,1,0.0500000007,0.100000001,0.0799999982,0.5,1026021.81,62.8008003,6472.35059,1034947.75,1017280.62,3890.17847,1025802.38,1026021.81,1017069.5,2678.28662,1021306.62,1023892.25,3229.1875,0.00890350342,1029028.44,-3229.1875,-38.3624802
103,0,0,9742.56641,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1026625.19,60.4206963,6379.40137,1034947.75,1017280.62,3901.34106,1026425.62,1026625.19,1018055.12,2728.63623,1021989.12,1024577.06,-1334.0625,0.00854039192,1028652.12,1334.0625,-38.2734261
104,0,0,9742.56641,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1027453.81,63.014679,6573.91748,1036248.56,1017280.62,4186.30762,1027024.12,1027453.81,1018946.75,2832.36279,1022660.5,1025120.38,2292.4375,0.00817811489,1031881.31,-2292.4375,-36.0305862
105,0,0,9742.56641,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1027995.19,60.5440063,6255.71777,1036248.56,1017280.62,4284.771,1027507.88,1027995.19,1019268.75,2941.45532,1023306.81,1026021.81,-1325.4375,0.00660848618,1030547.25,1325.4375,-35.2753983
106,0,0,9742.56641,0,0,1,0,0.0500000007,0.100000001,0.0799999982,0.5,1028397.38,59.5897369,6044.89844,1036248.56,1017280.62,4007.81689,1028197.19,1028397.38,1019942.44,2985.50391,1023958.88,1026625.19,-502.6875,0.00944805145,1032839.69,502.6875,-37.4240265
107,-1,1030496.06,9726.43945,0,0,0,1,0.0500000007,0.100000001,0.0799999982,0.5,1028994.69,61.984539,5945.95947,1036248.56,1017280.62,4042.57861,1028789.69,1028994.69,1019942.44,3029.40796,1024602.94,1027453.81,1865.625,0.0080960989,1031514.25,-1865.625,-37.1513519
108,0,0,9719.11328,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1029689.12,63.6341286,5976.34619,1036727.5,1019594.25,3388.96338,1029824.5,1029689.12,1020055.12,2998.15063,1025299.19,1027995.19,1326,0.0142062902,1031011.56,-1326,-42.7501259
109,0,0,9719.11328,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1031058.06,69.7641144,5988.5625,1040153.81,1020623.06,3333.02588,1031193.62,1031058.06,1020884.94,2962.40332,1026085.06,1028397.38,5752.8125,0.0187782049,1032877.19,-5752.8125,-43.3369331
110,0,0,9719.11328,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1032392.38,70.786705,5935.42871,1043134.12,1022727.5,3902.38013,1032249.88,1032392.38,1021569.75,3001.69946,1026907.06,1028994.69,1109.3125,0.0144082308,1034203.19,-1109.3125,-38.8122787
111,0,0,9719.11328,0,0,1,0,0.0500000007,0.100000001,0.0799999982,0.5,1032708.88,58.6556664,6149.34912,1043134.12,1022727.5,3538.28564,1032874.5,1032708.88,1022911.94,2957.48267,1027702.69,1029689.12,-6299.0625,0.00852334499,1039956,6299.0625,-41.7923088
112,-1,1034248.81,9694.89844,0,0,0,1,0.0500000007,0.100000001,0.0799999982,0.5,1033463.44,62.6024361,6007.60986,1043134.12,1024605.94,3786.09009,1033355.31,1033463.44,1023892.25,2984.90967,1028456.38,1031058.06,3602,0.00652575493,1041065.31,-3602,-39.931366
113,0,0,9687.57715,0,0,1,0,0.0500000007,0.100000001,0.0799999982,0.5,1033849.81,59.210659,6143.31641,1043134.12,1024605.94,3756.03052,1033790.81,1033849.81,1024577.06,2998.93604,1029167.62,1032392.38,-2007.0625,0.00591766834,1034766.25,2007.0625,-40.1821556
114,-1,1035843,9666.40332,0,0,0,1,0.0500000007,0.100000001,0.0799999982,0.5,1034581.19,62.4563751,6016.59277,1043134.12,1025237.88,3760.49072,1034526.94,1034581.19,1025120.38,3011.81763,1029882.19,1032708.88,2973.8125,0.0100158453,1038368.25,-2973.8125,-40.2055168
115,0,0,9659.11133,0,0,1,0,0.0500000007,0.100000001,0.0799999982,0.5,1034796.44,57.2746468,6189.1665,1043134.12,1026844,3403.59521,1035065.69,1034796.44,1026021.81,2949.34766,1030573.31,1033463.44,-3139.625,0.00733315945,1036361.19,3139.625,-43.3505478
116,-1,1035677.25,9667.47754,0,1,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1034536.56,52.2925301,6235.59668,1043134.12,1027145.94,3347.65991,1035134.88,1034796.44,1026625.19,2823.27661,1031181.5,1033849.81,-3347.875,0.000936388969,1039335,3347.875,-43.8592682
117,-1,1035677.25,9646.51953,1,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1034910.62,57.6220512,6177.21484,1043134.12,1027145.94,3133.04028,1035620.12,1034910.62,1027453.81,2670.39404,1031773.44,1034581.19,4494.5,0.0065933466,1036195.38,-4494.5,-45.7476768
118,-1,1035677.25,9626.21484,0,0,0,1,0.0500000007,0.100000001,0.0799999982,0.5,1035815.38,62.0456886,6070.29346,1043134.12,1029611.12,3391.24512,1036252.69,1035815.38,1027995.19,2570.69824,1032370.62,1034796.44,4354.25,0.00857496262,1032847.5,-4354.25,-43.7365761
119,0,0,9618.9248,0,1,1,0,0.0500000007,0.100000001,0.0799999982,0.5,1035190.62,48.7473297,6541.41992,1043134.12,1029611.12,3430.84839,1036225.31,1035815.38,1028397.38,2354.75562,1032884.62,1034536.56,-10566.625,-0.000372886658,1037342,10566.625,-43.3932228
120,-1,1030614.06,9607.75195,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1034762.25,49.6794586,6230.479,1043134.12,1029615.75,3333.62793,1036294.31,1035815.38,1028994.69,2037.58948,1033339.31,1034910.62,848,0.000936985016,1041696.25,-848,-44.2253685
121,-1,1030614.06,9607.41895,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1034400.44,49.7621346,5968.55176,1043134.12,1030085.25,3400.43164,1036235.19,1035815.38,1029689.12,1653.74976,1033725.38,1035815.38,71.25,-0.000801920891,1031129.62,-71.25,-43.70681
122,-1,1030614.06,9629.51367,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1033455.62,44.5269928,6096.07031,1043134.12,1025808.12,4087.83203,1035743.12,1035815.38,1031058.06,1226.39417,1033994.44,1035190.62,-4734.625,-0.00666111708,1031977.62,4734.625,-37.6553497
123,-1,1030614.06,9644.02246,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1032222.25,41.4436378,5943.17676,1043134.12,1023782.56,4866.80469,1034618.06,1035815.38,1032222.25,1051.46875,1034077.5,1034762.25,-3109.125,-0.0151457191,1032048.88,3109.125,-31.6263885
124,-1,1030614.06,9699.44336,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1029569.81,32.2555275,6640.25781,1042751.31,1010427.06,7210.36572,1032565.5,1035815.38,1029569.81,1521.02185,1033875.94,1034400.44,-11876.125,-0.0276027918,1027314.25,11876.125,-15.143631
125,-1,1030614.06,9703.99609,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1027140.94,31.6350842,6812.31543,1042751.31,1007318.62,8999.21875,1030893.06,1035815.38,1027140.94,2301.75439,1033478.19,1033455.62,-975.5625,-0.0226261616,1024205.12,975.5625,-4.88542938
126,-1,1030614.06,9715.47656,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1024707.94,30.064539,7022.3374,1042751.31,1005251.5,10350.5127,1028787.62,1035815.38,1024707.94,3225.07349,1032852.88,1032222.25,-2460.1875,-0.0283858776,1012329,2460.1875,2.18315125
127,-1,1030614.06,9699.2793,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1023062.12,34.9698563,7018.62598,1042751.31,1005251.5,10925.415,1027073.56,1035815.38,1023062.12,4072.26929,1032082.31,1029569.81,3471,-0.023154974,1011353.44,-3471,4.9694519
128,-1,1030614.06,9675.22363,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1022323.06,41.5290833,6937.72412,1042751.31,1005251.5,10616.9043,1025515.38,1035815.38,1022323.06,4708.90186,1031206.69,1027140.94,5154.8125,-0.0209903121,1008893.25,-5154.8125,3.48074341
129,-1,1030614.06,9693.00391,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1021174.5,38.442524,7283.31055,1042751.31,1005251.5,10580.5654,1023909.12,1035815.38,1021174.5,5243.62109,1030233.69,1024707.94,-3810.25,-0.0217010975,1012364.25,3810.25,3.30758667
130,-1,1030614.06,9711.2832,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1019656.81,35.5199471,7388.68115,1042751.31,1005251.5,10851.9697,1022262.38,1035815.38,1019656.81,5747.54346,1029170.94,1023062.12,-3916.875,-0.0223223567,1017519.06,3916.875,4.6234436
131,-1,1030614.06,9740.98828,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1017492.75,31.348896,7325.71729,1042751.31,1003355.88,10999.8262,1019839.94,1035815.38,1017492.75,6234.9458,1027926.88,1022323.06,-6365.375,-0.0326945782,1013708.81,6365.375,5.51661682
132,-1,1030614.06,9716.72656,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1016310.44,37.7756691,7254.71533,1042751.31,1002861.56,9501.4668,1017477.62,1035190.62,1016310.44,6490.5293,1026533.56,1021174.5,5198.75,-0.0317472219,1009791.94,-5198.75,-1.84230042
