t,position,entry_px,equity,el,xl,es,xs,stop,tp,trail,size,local0
84,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,51.01828
85,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,46.4214211
86,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,46.1198425
87,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,52.9702187
88,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,57.7232971
89,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,56.326889
90,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,59.2633438
91,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,59.5745201
92,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,54.2052078
93,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,58.081089
94,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,51.0513077
95,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,52.4162941
96,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,58.7664528
97,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,58.3732376
98,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,64.0282593
99,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,61.8189468
100,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,59.8159866
101,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,59.1872139
102,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,62.8008003
103,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,60.4206963
104,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,63.014679
105,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,60.5440063
106,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,59.5897369
107,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,61.984539
108,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,63.6341286
109,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,69.7641144
110,0,0,10000,0,1,0,0,0.0299999993,0,0,0.75,70.786705
111,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,58.6556664
112,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,62.6024361
113,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,59.210659
114,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,62.4563751
115,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,57.2746468
116,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,52.2925301
117,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,57.6220512
118,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,62.0456886
119,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,48.7473297
120,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,49.6794586
121,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,49.7621346
122,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,44.5269928
123,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,41.4436378
124,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,32.2555275
125,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,31.6350842
126,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,30.064539
127,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,34.9698563
128,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,41.5290833
129,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,38.442524
130,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,35.5199471
131,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,31.348896
132,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,37.7756691
133,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,36.9478798
134,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,39.6681709
135,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,38.030323
136,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,38.4684219
137,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,37.9178238
138,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,34.9566078
139,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,32.6322594
140,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,26.6315346
141,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,26.4104404
142,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,23.5241661
143,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,22.7065372
144,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,26.1355515
145,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,24.4834766
146,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,27.9808903
147,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,26.5725193
